transaction_description,transaction_amount,transaction_account_type
Tfr Wdl BPAY Internet 16Sep06****9160estpac Cards,-1000,transaction
WITHDRAWAL MOBILE 1119950 TFR Westpac Cho,-7,savings
Cash Withdrawal,-800,transaction
BPAY DEBIT VIA INTERNET WESTPAC CARDS 4****1314 8721441,-20,credit-card
Bonus Interest Credit - Receipt 913341,0.02,savings
ATM ENQ ARMIDALE SERV-14:19,-200,credit-card
VISA-DPTI - EZYREG            ADELAIDE     AU#0050221(Ref.888718111635),-195.8,credit-card
Loan Repayment S.212.1755131.00,-179.87,transaction
Direct debit from PAYPAL AUSTRALIA - J22222CM9LGN2,53.75,transaction
INTEREST CHARGED CA INTEREST S TRELOAR PL,-0.26,transaction
ACCOUNT SERVICING FEE,-22,transaction
Eftpos Purchase 03Jun14:03 Sushi & Grill Sydney Nswau,-12,transaction
8033134438058RAYN8 AMEX FEE DEBIT JSEO PTY LTD,-2,transaction
ATM W/D CASHCARD\RAB -15:01,-240,transaction
Tfr Wdl BPAY Internet         26Apr13:49 81611108200151      Optus Billing,-263.36,transaction
TRANSACTION FEE,-5,savings
Tf Rapid Loans Pty Ltd Web Ref-005777891 #221015546,-255,transaction
DIRECT DEBIT DOREMIT PTY LTD DT.4e6e,-120,savings
To 0751-0363136-01 WBC Internet Transfer 18:43-30623,-400,transaction
DEBIT CARD PURCHASE CRI*CRUNCHYROLL MEMBER 415-503-9235 USA USD 6.95 incl. Westpac Foreign Transaction Fee AUD $0.29,-10.09,transaction
Savings Interest CR Bal @0%%,98.63,savings
International Transaction Fee Value Date: 18/05/2019,-0.65,savings
Loan repayment To 0502 0376606-00,407,mortgage
INWARD DIRECT CREDIT,2.5,transaction
ATM Owner Charge -14:59,-2,transaction
INWARD DIRECT DEBIT,-14.91,transaction
ANNUAL FEE,-30,credit-card
0539533 BPAY TO ORIGIN ENERGY AU,-191.15,credit-card
TRANSFER DEBIT TO 154454707 FOOD,-52,savings
Transfer from xx2616 CommBank app Wedu Loan,500,transaction
Credit Card Interest,-0.94,credit-card
International ATM Fee Rebate Receipt 128609 We paid the ATM fee for you!,7.02,transaction
INTERNET BANKING INT TFR,140.4,transaction
Transfer Dishonour Fee,-24.65,transaction
OUTWARD DISHONOUR FEE,-50,transaction
Cash Wdr CARNARVON WA,-303,credit-card
TRANSACTION FEE,-10,savings
Mortgage Interest Payment 746833,-4168.25,mortgage
INTEREST CREDIT,0.03,savings
ANNUAL FEE,-370,credit-card
Internet Withdrawal 31May13:07 To 342-015 228455412,-1000,transaction
Debit Interest,-0.03,savings
INTEREST CHARGE 64721224-00005 688.94,-688.94,mortgage
DIRECT CREDIT AUS GOV FAMILIES 841B9736403256232A,144.72,savings
INTERNET TRANSFER   Household Food      SHINGLER SD,100,transaction
INTERNET TRANSFER DEBIT TO 203860167 REFERENCE NO 68863051 money ** UNPOSTED ITEM **,-20,savings
ATM OPERATOR FEE - WITHDRAWAL AT CAL ATM CH\NORTH NSW CALN1232043256 290519,-2.5,transaction
MONTHLY SERVICE FEE,-5,transaction
ACCOUNT OVERDRAWN FEE 24-OCTOBER-2018,-15,transaction
DEPOSIT ONLINE 2152219 TFR Westpac eSaver,15,transaction
Interest From 0502 0376593-91,-20,transaction
IB TFR to 015896 211739546 6998,-333.65,savings
BPAY DEBIT VIA INTERNET BANKWEST CREDIT CARD 5435680351086130 REFERENCE NUMBER 38840732,-20,credit-card
Interest Charge,-0.28,transaction
Tfr from SAV 02134618 - Card payment - NET#525158396,50,credit-card
To CDIA 10:49AM 21Jun,-0.45,transaction
Visa Purchase Coles Sydney,-1,credit-card
Cash Advance Fee,-1,credit-card
AP#15769277 TO AA INSURANCE - PREMIUM 200112348072 AMV012348072 HORTON JM,-647.98,mortgage
Visa Purchase                 24Feb Pho Victoria         North Mel,-14.5,transaction
FROM D J & S G BLAIKIE GST,2430,transaction
LOAN ADMINISTRATION CHARGE,-30,mortgage
DEBIT INTEREST CHARGED,-0.18,transaction
AUTHORISATION ONLY - EFTPOS PURCHASE AT PREMIER CABS 131017   SYDNEY    NSW   AU,-13.97,transaction
ExtrasReward QT BONDI AU,20,transaction
INTERNET BANKING EXT TFR,-300,transaction
BBL ATM    05th14:24CEXP AITKENVALE      DIR CHG OTH ATM,-2.5,transaction
HOL transfer to 064-474 10631762 #2840539572 Renae Hart - Micro,-40,savings
To linked account xx0689 - Internal transfer,-5,savings
Bonus Interest,3.02,savings
WITHDRAWAL,-85062.33,transaction
ATM Owners charge - WDL 000863/1031171238 0200 1031181239,-2,savings
Over Counter/Express Dep Fees,-2.5,savings
+CARD FEE,-2,transaction
ATM DEPOSIT PCCUATM 297 Diagonal Rd  0885,325,savings
PAY Belmont School Board of Trustees,-15,transaction
SMARTRIDER - Direct Debit - Receipt 113619 #****0350,-50,transaction
IB BPAY 446580956 TO CITIBANK CREDITCARDS 5520603021169744 AT 7:53AM,-1000,transaction
Card 6351Wellington Pak N Save Lower Hutt,-20.86,transaction
MCDONALDS PRESTON PRESTON AUS Card xx3841 Value Date: 24/05/2019,-18.9,transaction
INTERNET BANKING BUSINESS,-15,transaction
IB TRANSFER 427219684 TO 303-092-6913143 9:47PM 22FEB,-300,transaction
Overdraft Interest,-24.65,transaction
Interest,-50,transaction
CARDLESS CASH WITHDRAWAL AT HANDYBANK SOUTHCITY O/S 11028227 14/11/17,-40,transaction
IRD:Tax On Interest,-13.68,savings
ANNUAL CARD FEE,-395,credit-card
REFUND OF BANK CHEQUE FEE - BWA CUSTOMER,200,credit-card
Payment Received Thank You NZ,2450,credit-card
IB PAYMENT 437150117,-145,transaction
PP*8469CODE - Visa Refund - Receipt 185460 In 4029357733 Date 24 Jan 2019 Card 462263xxxxxx7193,2,transaction
Internet Withdrawal 29Jun10:11 Dinner,-60,transaction
INTERNET BANKING - REDRAW TRANSFER 685374 TO 013278279104236,-2000,mortgage
TRANSACTION FEE,-5,transaction
V3326 23/06 HCA Eftpos Smithfield 74249238174,-20,transaction
AC/Rfa Wildzone Western Sprin,-27.6,credit-card
+Account Fee,-24,credit-card
OffshoreServiceMargins**,-2,credit-card
Interest charged,-36.42,loan
TO CARD 7806  Google2103,-86.25,investment
VISA Refund-ALDI STORES - ADELAIDE   ADELAIDE AIRPAU#0050221(Ref.266948711633),129.64,credit-card
Referral Fee,-24.65,transaction
Withdrawal at WESTPACMID CITY O/S SYDNEY 2 AU,-130,transaction
Refund Purchase BEEM IT BEEM.COM.AU AU,20,transaction
Atm Operator Fee Wdl          20Jun08:14 Cexp Kingsgrove        Kingsgrove   02Au,-211.65,transaction
INTEREST PAID - INTRODUCTORY,0.13,savings
Cash Advance Fee - Online Banking,-2.5,credit-card
AMERICAN EXPRESS     CB TabletApp BPAY 5082 ****1004,-100,transaction
V5617 16/12 EPML DE PROXI   2327965  PARI Ref: 74972108350 Frgn Amt: 60.00 EUR,-94.94,savings
FRAUD REFUND EVENT,50,transaction
TFR Acc14000 TO 12389,500,savings
Business Base Balance Fee,-24.65,transaction
Bonus Interest,9.84,savings
WITHDRAWAL ONLINE MULTI 1032960 BPAY MANUAL,-2246.66,term-deposit
Account Fee,-10,transaction
HOL Bpay 0640356374_443887 to GO MASTERCARD,-1300,savings
REVERSAL OF DEBIT A&G INSURANCE SERVIC116675199043010865,31.6,transaction
IRD WITHHOLDING TAX 30.000%,-0.33,transaction
Interest credit,0.01,savings
Transfer Pay Card from SAV 02134xxx NET#807622857,1750,credit-card
Cash Withdrawal,-6,transaction
Debit Interest,-0.13,transaction
CASH WITHDRAWAL,-700,transaction
AMEX NETFLIX.COM MELBOURNE 000,-17.99,credit-card
OA Annual Fee,-299,transaction
WITHDRAWAL,-1787.16,transaction
ATM - Operator withdrawal fee,-2.5,transaction
TFR To JenniferTo Keep ANZ Savings FRM Wages,-200,credit-card
CARD FEE REVERSAL,200,credit-card
BASE CR INTEREST $0.11 LESS R/W TAX $0.03,0.08,savings
Transfer to other Bank NetBank Rent Personal,-360,transaction
Purchase from BLS*ONLYDOMAINS.COM,-10.95,transaction
BPAY PAYMENT - THANK YOU -,907.3,credit-card
Internet Withdrawal 06Jun07:14 Daycare,-80,savings
BPAY DEBIT VIA INTERNET ERGON ENERGY QLD P/L REFERENCE NUMBER 13849,-20,credit-card
CREDIT INTEREST PAID,1.84,transaction
NON-ANZ ATM CASHCARD\GB - ARMIDALE\AR\ARMIDALE NSW INCLUDES ATM OPERATOR CHARGE $2.50,-22.5,transaction
DEBIT INTEREST,-65.5,loan
BPAY GO MASTERCARD MOB Ref-5218943501169021 #216285539,-561.97,transaction
LATE PAYMENT FEE,-2,credit-card
Cash Deposit,1300,transaction
CBA ATM M/S WILSONTON Q LD 443394 - Receipt 6357ATM owner fee of $0.00 charged by CBA ATM M/S WILSONTON Q LD 443394Date 27 Sep 2018 Time 1:05PM Card 462263xxxxxx3643,-100,transaction
4621Valentine sleeping bag BILL PAYMENT 22:06-69954,-100,transaction
CASH DEPOSIT,54.88,loan
REV VISA DEBIT PURCHASE,6.99,transaction
"DEBIT CARD PURCHASE MOSCHINO PARIS        FRA EUR 1,186.50 incl. Westpac Foreign Transaction Fee AUD $56.20",-240.65,credit-card
INTERNET EXTERNAL TRANSFER TO 734130 000559841 REF NO 4717361 Levi ole,-36,transaction
Interest for 01/06/2019 - 30/06/2019,4.66,savings
INTEREST ON PURCHASE(S),-254.96,credit-card
OVERSEAS ATM FEE,-5,transaction
Loan Interest,-1261.54,mortgage
Transfer to xx5897 NetBank,-50,savings
EFTPOS THE MELBOURNE HOTEL FBS \PERTH AU EFFECTIVE DATE 24 FEB 2019,-16,transaction
31 EXCESS EFTPOS  PHONE BANKING  AUTOMATIC TRANSACTIONS - FEE,-18.6,savings
Credit Interest,0.4,savings
Interest,-152.17,mortgage
REFUND 7130 REG 01,11.99,credit-card
VISA PURCHASE   GOOGLE*GLU GAMES INC G.CO HELPPAY 04/05 AU AUD,-7.99,transaction
INTERNET BPAY GEM VISA CARD 6010732002896028,-31.46,savings
OVER LIMIT FEE,-12.5,transaction
ANZ BREAKFREE PACKAGE FEE REF 000000000725578,-395,transaction
CUSC NP-Mobil on Spence Ca irns 0 14/06/19 Cash Withdrawal,-80,savings
WITHDRAWAL CASH 0000000 YASS NSW,-20,transaction
AUTOMATIC PAYMENT,7892.37,transaction
ST JOHNS BAR 483561******1756 Orig date 13/11/2018,-25,transaction
POS W/D 143.35AUD @ 0.9488 conversion rate (INC. $3.78 CURRENCY CONVERSION COMMISSION) PATIL PATHAK P/L WELLINGTON PO,-154.87,transaction
Transfer to xx9627 CommBank app,-30.21,transaction
International Transaction Fee Rebate Receipt 129492,0.11,transaction
WHOLEFOODS HOUSE PTY ROSEBERY     AUS AUS Card xx7379 Value Date: 30/04/2019,-16.39,transaction
TRANSFER 441394844   FROM 303-092-507,1000,credit-card
ASB BANK - INTEREST,-1.71,transaction
CAFE ZO ZO NEUTRAL BAY AUS AUS Card xx4381 Value Date: 20/03/2017,-16.17,credit-card
ACCESS FEE,-5,transaction
"TRANSFER FROM H R BRADLEY, M J L HUGHES - 06",250,transaction
WOOLWORTHS 1766 KOGARAH N AUS,-9.7,credit-card
INTEREST PAID,171.96,savings
REFUND OF FEE CHARGED ON 012009 CANVA FOR WORK YEARLY 8778877815 USAUSD,20,transaction
Atm Withdrawal                08Feb14:10 Cashcard\Sth Melbourne Markets #3\Sou Au,-300,transaction
NEILS PARTS (AUSTRALIA From: NEIL'S PARTS Ref: JAN0025/11/2017,25,transaction
EFTPOS WDL BROWN DOG CAFE Woolloonga AU,-4.5,transaction
IB TFR 102385123 to 102385118,-300,savings
ANNUAL FEE,-29,credit-card
COMP INT #50341 2.15%,32.44,term-deposit
Settlement Fee,-100,loan
REFUND FROM EFTPOS 0581035 Medicare Benefit 01/02,37.05,transaction
Internet Deposit              26Feb12:16 From 0000451712349,100,savings
INTEREST CHARGED ON PURCHASES,-36.81,credit-card
Account Service Fee,-5,transaction
Bill Payment TOMPSETT RALP Ref: awesome Love f&r shoes&being,100,transaction
Foreign ATM Direct Charge,-24.65,transaction
DD SET-UP FEE #0306652,-10,credit-card
ACCOUNT FEES A.K.F. SATOKO TAKAN,-16.1,transaction
Visa Purchase 28Apr Iga West Pymble West Pymb,-6,transaction
International ATM Withdrawal Fee Receipt 128609,-2.5,transaction
MONTHLY ADMINISTRATION FEE,-6,savings
Eftpos Purchase 03May10:40 Woolworths 2507 Plainlands Qldau,-20,transaction
WOOLWORTHS 4366 DI ANELLA WA - EFTPOS Purchase with Cash Out - Receipt 303334 - Cash amount $100.00<BR/>Date 26 Jun 2019 Time 5:10PM Card 462263xxxxxx1712,-140.38,transaction
Multiple Transfer NetBank pay,-6443.97,transaction
INTEREST,-2006.12,investment
IRD WITHHOLDING TAX 33.000%,-0.15,transaction
Monthly A/C Fee,-5,transaction
CBA OTHER CASH ADV FEE,-2.5,credit-card
Woolworths 1327WoolgoolgaAu (AUD 8.40 @ 0.9491),-9.07,credit-card
VIRGIN MOBILE        676063 ANZ BPAY,-86,credit-card
CUECARD 09th10:49SHELL BERMAGUI DIR CHG OTH ATM,-2.9,transaction
Admin Fee,-12,loan
PIE TAX 28.000%,-0.64,investment
M G SHARPE Sharpe. - Deposit - Receipt 825465 - Ref Number Sharpe,1890.26,transaction
Direct Debit Dishonour,3064.15,transaction
Cardless Cash for third party collection Ronny Wedding,-123.45,transaction
Tfr Wdl BPAY Internet         24Oct14:09 831010528300179744  Biggin&Scott Prahran,-2477,transaction
HSBC/JRSY HALKETT I - Visa Cash Withdrawal - Receipt 168670Foreign Currency Amount: GBP 50In JERSEY I3 Date 02 Jan 2019 Card 462263xxxxxx8220,-90.94,transaction
VisaDebitAnnualFee *8372,-10,transaction
Direct Debit 348045 AGL SALES P/L 850007773584,-194,transaction
WITHDRAWAL AT O/S ATM ELSON     NZL 0.00AUD 018630211217,-440.19,transaction
HONOUR FEE - PERSONAL,-10,transaction
PAY UNIVERSITY OF OTAGO OTHER PAYMENTS,-250,transaction
WBC FEE - WITHDRAWAL AT O/S ATM HIBA      JPN 00026401017208050219,-5,loan
Atm Operator Fee Wdl          04Aug11:12 Trailer Cash 31          Sydney       02,-3.5,transaction
V6155 05/02 NAB ATM CASH NEWMARKET 31105880002,-2000,transaction
REFUND-EFTPOS UBET QLD 18 CENTRAL PARK AVE,2,transaction
Transfer from CBA NetBank Invoice 0017,1061.28,transaction
Bonus Interest,7.02,savings
TRANSFER TO S M & S BROOMFIELD - 06,-33.84,transaction
Processing Fee,-6,loan
VISA-Kayo Sports              61297766319  ****8830,-25,transaction
CASH DEPOSIT CBA ATM  MOOLOOLABA A   QLD 446601   AUS,567.5,transaction
Overdraft Facility Fee,-2,transaction
CARD REPLACEMENT NZ FEE,-20,credit-card
DD DISHONOUR FEE,-2.5,mortgage
BPAY: ORIGIN ENERGY Web Tf PP Ref-200040099430 #234598408,-50,transaction
RESIDENT WITHHOLD TAX ON INTEREST PAID,-7,savings
INTEREST CHARGE ADJUST MENT,20,transaction
MICROSOFT*XBOX LIVE GO MSBILL.INFO AU AUS Card xx8295 Value Date: 15/06/2019,-10.95,transaction
Visa Purchase O/Seas          24Feb Eur4.99 Mega Pro,-7.99,transaction
Intl ATM W/D Fee 750209,-6,transaction
WESTPAC CARDS CommBank app BPAY 5181 ****4003edit card,-250.04,transaction
OVERLIMIT FEE,-20,credit-card
17/06 14:46 HOLE IN THE,-9.5,transaction
Fraud Refund/Visa Purchase Cr Atm Credit,310,transaction
Fun - Receipt 159463 - From Orange Everyday  ,70,savings
Forest Lake Village    Fo rest Lake  Q - Receipt 571706ATM owner fee of $2.75 charged by Forest Lake Village    Fo rest Lake  QDate 13 Dec 2018 Time 9:09AM Card 462263xxxxxx7856,-202.75,transaction
Credit Interest,0.05,savings
ANZ M-BANKING FUNDS TFER TRANSFER 531407  TO 4509499261915005,-20,transaction
WOOLWORTHS 2749 - Visa Purchase - Receipt 196080In COOLANGATTA Date 31 May 2019 Card 462263xxxxxx6799,-32.62,transaction
WITHDRAWAL MOBILE 1865208 TFR Westpac eSa Rent,-666,transaction
Direct Debit Cash Converters 215593 B10208T88,-70,savings
CASH WITHDRAWAL,-2500,transaction
Campaign Interest Bom Maxi Saver Special Rate,1.2,savings
ATM W/D CEXP NORTHMEA-06:39,-100,transaction
Debit Interest,-0.05,transaction
TRAILERTRAILER CASH 45 SYDNEY Receipt 13683 ATM owner fee of $3.50 charged by TRAILERTRAILER CASH 45 SYDNEY Date 04 Nov 2018 Time 7:10PM Card xxxxxxxxxxxx9344,-43.5,transaction
Transfer from SAV 01980993 NET#628054217,700,transaction
Credit Interest,5.09,savings
AP DISHONOUR FEE #15530729,-2.5,transaction
WITHDRAWAL AT STG ATM DERNANCRTSA ATM06595111589 250817,-150,transaction
Annual Fee,-179,credit-card
FEE FOR OVERSEAS TELEGRAPHIC TRANSFER,-10,transaction
EFTPOS CASH WITHDRAWAL Unearthly Delights       1618,-10,savings
BWA ATM 254 GEORGE BA NSW 200434 AUS,-200,credit-card
LOAN DRAWDOWN,-296000,mortgage
"ATM 27/05 12:25 CLARKSON - SHOP 9, 36 OCEAN KEYS BOU",-1300,transaction
ATM RECOVERY FEE KIW TRANSACTION,-1,transaction
OVERSEAS TELEGRAPHIC TRANSFER REFERENCE 114732 - FEE,-9.92,foreign
GROSS CR INTEREST $0.33 LESS R/W TAX $0.06,0.27,transaction
NPP to NAB MOB 082057 305948062,-100,transaction
CRED VOUCHER TOMS ITALIAN NORTH BEACH AUS,12,credit-card
Direct Debit Dishon Fee,-5,transaction
ATM OPERATOR FEE WITHDRAWAL IGA Kingsthorpe,-2,credit-card
INTERNET BANKING BPAY,-500,transaction
BANK @ POST W/D,-3.25,transaction
INTEREST,-0.09,transaction
Foreign Currency Conversn Fee,-0.22,savings
MOUNT MACEDON HOTEL MOUNT MACEDO AUS AUS Card xx7379 Value Date: 23/01/2017,-43.33,transaction
CREDIT INTEREST,0.01,transaction
From linked account xx5027 - Internal transfer,32,transaction
LOAN INTEREST,-123.52,loan
INTEREST EFFECTIVE DATE 26 DEC 2018,-20,transaction
NAB INTNL TRAN FEE - (SC),-0.44,credit-card
Sagra Malvern VI AUS Card xx8831 Value Date: 13/03/2019,-18,transaction
CASH,1920,transaction
CASH ADVANCE 056874 CASH ADVANCE ONLINE,-30,credit-card
Rev - Miscellaneous Fee Bank Gift,70,transaction
INTEREST CHARGED ON CASH,-298.83,credit-card
VISA NRMA LTD SYDNEY OLYMP 20/06/19 Card Purchase,-96,savings
Osko Payment To Bret Treasure Account 904474639 ANZ - Northbrid Ref#52247033,-200,savings
Debit Excess Interest,-0.26,savings
Tf TO 082407 749703875 Web To-Glen Murphy Ref-4x angus steers 4x angus steers,-3500,transaction
WAIVE: HONOUR/OVERDRAWN FEE,37.7,transaction
BET365.COM.AU DARWIN AU AUS Tap and Pay xx8802 Value Date: 13/03/2019,-10,transaction
